confidence,city_a,city_b,city_a_slug,city_b_slug,city_a_counties,city_b_counties,county_overlap,normalized_a,normalized_b,edit_distance,blocked_pair,approved_alias_exists,suggested_action,reason
medium,CLEVELAND,CLEVLAND,cleveland,clevland,CUYAHOGA,CUYAHOGA,yes,cleveland,clevland,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,COLUBUS,COLUMBUS,colubus,columbus,FRANKLIN,DELAWARE|FRANKLIN,yes,colubus,columbus,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,COLUBUS,COUMBUS,colubus,coumbus,FRANKLIN,FRANKLIN,yes,colubus,coumbus,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,COLUMBIA STATIO,COLUMBIA STATION,columbia-statio,columbia-station,LORAIN,LORAIN,yes,columbia statio,columbia station,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,COLUMBUS,COUMBUS,columbus,coumbus,DELAWARE|FRANKLIN,FRANKLIN,yes,columbus,coumbus,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,COMMERCIAL POIN,COMMERCIAL POINT,commercial-poin,commercial-point,PICKAWAY,FRANKLIN|PICKAWAY,yes,commercial poin,commercial point,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,DUBIN,DUBLIN,dubin,dublin,FRANKLIN,DELAWARE|FRANKLIN|UNION,yes,dubin,dublin,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,FAIFIELD,FAIRFIELD,faifield,fairfield,BUTLER,BUTLER|HAMILTON,yes,faifield,fairfield,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,FAIRBORN,FAIRBRON,fairborn,fairbron,CLARK|GREENE,GREENE,yes,fairborn,fairbron,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,GARRETSVILLE,GARRETTSVILLE,garretsville,garrettsville,PORTAGE,PORTAGE,yes,garretsville,garrettsville,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,GROVE CITY,GROVECITY,grove-city,grovecity,FRANKLIN,FRANKLIN,yes,grove city,grovecity,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,HAMILITON,HAMILTON,hamiliton,hamilton,BUTLER,BUTLER|HAMILTON,yes,hamiliton,hamilton,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,HILLARD,HILLIARD,hillard,hilliard,FRANKLIN,FRANKLIN,yes,hillard,hilliard,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,LIBERTY TOWNSHIP,LIBERTY TOWNSHP,liberty-township,liberty-townshp,BUTLER,BUTLER,yes,liberty township,liberty townshp,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,LIBERTY TOWNSHP,LIBERTY TWNSP.,liberty-townshp,liberty-twnsp,BUTLER,BUTLER,yes,liberty townshp,liberty twnsp,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,LIBERTY TOWNSHP,LIBERTY TWP,liberty-townshp,liberty-twp,BUTLER,BUTLER|TRUMBULL,yes,liberty townshp,liberty township,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MANSFIED,MANSFIELD,mansfied,mansfield,RICHLAND,RICHLAND,yes,mansfied,mansfield,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MAPLE  HEIGHT,MAPLE HEIGHTS,maple-height,maple-heights,CUYAHOGA,CUYAHOGA,yes,maple height,maple heights,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MAPLE  HEIGHT,MAPLE HTS,maple-height,maple-hts,CUYAHOGA,CUYAHOGA,yes,maple height,maple heights,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MAPLE  HEIGHT,MAPLE HTS.,maple-height,maple-hts,CUYAHOGA,CUYAHOGA,yes,maple height,maple heights,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MAPLE  HEIGHT,MAPLEHEIGHTS,maple-height,mapleheights,CUYAHOGA,CUYAHOGA,yes,maple height,mapleheights,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MAPLE HEIGHTS,MAPLEHEIGHTS,maple-heights,mapleheights,CUYAHOGA,CUYAHOGA,yes,maple heights,mapleheights,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MAPLE HTS,MAPLEHEIGHTS,maple-hts,mapleheights,CUYAHOGA,CUYAHOGA,yes,maple heights,mapleheights,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MAPLE HTS.,MAPLEHEIGHTS,maple-hts,mapleheights,CUYAHOGA,CUYAHOGA,yes,maple heights,mapleheights,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MASSILION,MASSILLON,massilion,massillon,STARK,STARK,yes,massilion,massillon,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MC ARTHUR,MCARTHUR,mc-arthur,mcarthur,VINTON,VINTON,yes,mc arthur,mcarthur,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MC COMB,MCCOMB,mc-comb,mccomb,HANCOCK,HANCOCK,yes,mc comb,mccomb,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MC CONNELSVILLE,MCCONNELSVILLE,mc-connelsville,mcconnelsville,MORGAN,MORGAN,yes,mc connelsville,mcconnelsville,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MC DERMOTT,MCDERMOTT,mc-dermott,mcdermott,SCIOTO,SCIOTO,yes,mc dermott,mcdermott,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,MC DONALD,MCDONALD,mc-donald,mcdonald,TRUMBULL,TRUMBULL,yes,mc donald,mcdonald,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,NEW MIDDELTOWN,NEW MIDDLETOWN,new-middeltown,new-middletown,MAHONING,MAHONING,yes,new middeltown,new middletown,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,NEW PHILADELPHI,NEW PHILADELPHIA,new-philadelphi,new-philadelphia,TUSCARAWAS,TUSCARAWAS,yes,new philadelphi,new philadelphia,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,NEW PHILADELPHIA,NEW PHILADLEPHIA,new-philadelphia,new-philadlephia,TUSCARAWAS,TUSCARAWAS,yes,new philadelphia,new philadlephia,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,NORTH BEND,NORTHBEND,north-bend,northbend,HAMILTON,HAMILTON,yes,north bend,northbend,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,NORTH RIDGEVILL,NORTH RIDGEVILLE,north-ridgevill,north-ridgeville,LORAIN,LORAIN,yes,north ridgevill,north ridgeville,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,PAINESVILLE,PAINESVILLIE,painesville,painesvillie,LAKE,LAKE,yes,painesville,painesvillie,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,PATASKALA,PATASKTALA,pataskala,patasktala,LICKING,LICKING,yes,pataskala,patasktala,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,PORTMSOUTH,PORTSMOUTH,portmsouth,portsmouth,SCIOTO,SCIOTO,yes,portmsouth,portsmouth,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,REYNOLDBURG,REYNOLDSBURG,reynoldburg,reynoldsburg,FRANKLIN,FAIRFIELD|FRANKLIN|LICKING,yes,reynoldburg,reynoldsburg,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,REYNOLDBURG,REYONOLDSBURG,reynoldburg,reyonoldsburg,FRANKLIN,FRANKLIN,yes,reynoldburg,reyonoldsburg,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,REYNOLDSBURG,REYONOLDSBURG,reynoldsburg,reyonoldsburg,FAIRFIELD|FRANKLIN|LICKING,FRANKLIN,yes,reynoldsburg,reyonoldsburg,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,SAINT CLAIRSVIL,SAINT CLAIRSVILLE,saint-clairsvil,saint-clairsville,BELMONT,BELMONT,yes,saint clairsvil,saint clairsville,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,SAINT CLAIRSVIL,ST. CLAIRSVILLE,saint-clairsvil,st-clairsville,BELMONT,BELMONT,yes,saint clairsvil,saint clairsville,2,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
medium,STONGSVILLE,STRONGSVILLE,stongsville,strongsville,CUYAHOGA,CUYAHOGA,yes,stongsville,strongsville,1,no,no,REVIEW,Small edit-distance typo candidate with county overlap.
